section,name,url,address,corrected_address,coordinates,neighborhood,latitude,longitude
Restored & Upcycled,Take Three,https://www.boutiquetakethree.com/about,"5594 Saint-Laurent Boulevard, Montreal, Quebec","5594, Boulevard Saint-Laurent, Mile-End, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2T 1L6, Canada","(45.5260087, -73.5997371)",Mile-End,45.5260087,-73.5997371
Restored & Upcycled,ERA Vintage Wear,https://eravintagewear.shop/,"999 Du College Rue, Montreal, Quebec","Le Laboratoire Foulab, 999, Rue du Collège, Saint-Henri, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H4C 2S3, Canada","(45.479064, -73.5891925)",Saint-Henri,45.479064,-73.5891925
Restored & Upcycled,Cul-du-Sac,https://www.instagram.com/culdesac.mtl/?hl=en,"3794 Saint-Laurent Boulevard, Montreal, Quebec","3794, Boulevard Saint-Laurent, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2W 1Y4, Canada","(45.5153222, -73.576201)",Le Plateau-Mont-Royal,45.5153222,-73.576201
Hunter's Paradise,Eva B,https://boutiqueevab.com/,"2015 Saint-Laurent Boulevard, Montreal, Quebec","Eva B, 2015, Boulevard Saint-Laurent, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2X 2T3, Canada","(45.5115638, -73.5671241)",Ville-Marie,45.5115638,-73.5671241
Hunter's Paradise,Eva D,https://boutiqueevab.com/collections/eva-d,"1611 Saint-Laurent Boulevard, Montreal, Quebec","Eva D, 1611, Boulevard Saint-Laurent, Quartier des Spectacles, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2X 2S9, Canada","(45.5111347, -73.5661689)",Quartier des Spectacles,45.5111347,-73.5661689
Hunter's Paradise,Hadio,https://hadio.com/another-home/,"314 Mont-Royal Avenue Est, Montreal, Quebec","Hadio, 314, Avenue du Mont-Royal Est, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2T 1P7, Canada","(45.5230695, -73.58353)",Le Plateau-Mont-Royal,45.5230695,-73.58353
Hunter's Paradise,KILOFripe,https://kilofripe.com/,"3800 Saint-Laurent Boulevard, Montreal, Quebec","KILOfripe, 3800, Boulevard Saint-Laurent, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2W 1X6, Canada","(45.515427, -73.5762371)",Le Plateau-Mont-Royal,45.515427,-73.5762371
Hunter's Paradise,Marché Floh,https://marchefloh.com/,"4301 Saint-Denis Rue, Montreal, Quebec","Institut de tourisme et d'hôtellerie du Québec, 3535, Rue Saint-Denis, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2X 3P1, Canada","(45.5179801, -73.56870587794859)",Le Plateau-Mont-Royal,45.5179801,-73.56870587794859
Hunter's Paradise,The Little Shop,https://www.instagram.com/thelittleshopmtl/?hl=en,"1002 Ogilvy Avenue, Montreal, Quebec","1002, Avenue Ogilvy, Parc-Extension, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3N 1P3, Canada","(45.5251509, -73.627313)",Villeray–Saint-Michel–Parc-Extension,45.5251509,-73.627313
Bring it to the Runway,Rudston Brown,https://rudstonbrownvintage.com/,"5879 Sherbrooke Rue Ouest, Montreal, Quebec","5879, Rue Sherbrooke Ouest, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H4A 1X4, Canada","(45.4691706, -73.6190046)",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4691706,-73.6190046
